distance_hips,distance_leftkneehip,distance_rightkneehip,distance_leftkneeheel,distance_rightkneeheel,distance_leftheelindex,distance_rightheelindex,distance_hips_anomalien,distance_leftkneehips_anomalien,distance_rightkneehips_anomalien,distance_leftkneeheel_anomalien,distance_rightkneeheel_anomalien,distance_leftheelindex_anomalien,distance_rightheelindex_anomalien
0.1224119670256665,0.1660723606736296,0.1580724320559876,0.204668600992405,0.2776181316102988,0.1481532367470096,0.0366306140711532,0,0,0,0,0,0,0
0.1230961322750169,0.1682960992976818,0.1513230029031792,0.2055705329919095,0.2766761882464235,0.1174898363454228,0.0315954941194033,0,0,0,0,0,0,0
0.1181744499664736,0.1667169477720102,0.1411341153233046,0.2373835118057156,0.2989337809378229,0.1375330545227089,0.0445220019695885,0,0,0,0,0,0,0
0.1178584409359707,0.1634214927779378,0.1411407383974038,0.2624204851724875,0.2747827373477616,0.120634236832841,0.0420081724623064,0,0,0,0,0,0,0
0.1186676153220052,0.157647529543677,0.140928512468308,0.2768833489575138,0.2533362012510246,0.1233463510562872,0.1134470658179259,0,0,0,0,0,0,0
0.1197797362110674,0.1610965564836017,0.154093400039627,0.2702053899639512,0.258842570886128,0.1387627410712942,0.0890288545985291,0,0,0,0,0,0,0
0.12059732703457,0.1839595442795837,0.1635503401408958,0.2494286254446146,0.2424540569774658,0.1189899462421746,0.1155704806932323,0,0,0,0,0,0,0
0.1218926851449489,0.1863627734690311,0.1636672003756884,0.2575453668619266,0.2024086828473901,0.0982391056362674,0.1263469462612237,0,0,0,0,0,0,0
0.1245182679086801,0.1837631145502531,0.1574854043518261,0.2747260802350298,0.185097199999998,0.0763349088509832,0.1277121545248899,0,0,0,0,0,0,0
0.1286493373686121,0.1745827890067154,0.1539748576982369,0.2960290056258144,0.1956277330935413,0.0778893465139564,0.1056769017604634,0,0,0,0,0,0,0
0.1303824170402268,0.1690019689177366,0.1556170682625078,0.3098606112167926,0.1962340048154363,0.0597729517261062,0.110440545338521,0,0,0,0,0,0,0
0.1288580141159876,0.1609711996317766,0.157746209255794,0.3199032590076431,0.1932725646358414,0.0495969792153778,0.1153173119436255,0,0,0,0,0,0,0
0.1272754564045729,0.154845093368918,0.1549015931990947,0.3002906265874364,0.1990814230822131,0.0331974524845719,0.1244331600150937,0,0,0,0,0,0,0
0.1246404690089832,0.1442252026679437,0.1578954256155998,0.337062933069426,0.2083777298539039,0.0411224409776512,0.1211951551413781,0,0,0,0,0,0,0
0.1192012608288648,0.1536944528537452,0.1546239234905828,0.3534800175818617,0.2247983684806041,0.0428555236478125,0.1448827519966712,0,0,0,0,0,0,0
0.1179646043542172,0.1600702451108687,0.1567843882330842,0.3264265595181985,0.2310295400928027,0.0458430587470606,0.1432008932626099,0,0,0,0,0,0,0
0.1180219572137959,0.1686735284392114,0.1586544475462163,0.3143073288754343,0.2463327662131539,0.0658186157914617,0.1297676325177378,0,0,0,0,0,0,0
0.1173985406755525,0.1736560276642445,0.1580184909878736,0.3048199049292238,0.2447349051626554,0.0962682395776293,0.1190113092060201,0,0,0,0,0,0,0
0.1185905875636386,0.1799708797520298,0.1680751585860104,0.2573289731480312,0.249828299832631,0.1092627922274988,0.0980336897310435,0,0,0,0,0,0,0
0.1232742117096598,0.1787487698924113,0.1715912948544607,0.2210732021737497,0.2576567398616142,0.1462103439320763,0.0894057716474471,0,0,0,0,0,0,0
0.1228158611104417,0.174663553216382,0.1758746882568383,0.1966947097879499,0.2659584060409828,0.1360736185162291,0.0676640682965858,0,0,0,0,0,0,0
0.1246096990593464,0.1681774878463975,0.1704003032040638,0.2011613545663635,0.2718766494232678,0.1455245307032039,0.0668109526500759,0,0,0,0,0,0,0
0.127923216129842,0.1678871823382812,0.1621571742987838,0.1994136580700788,0.2813611092766214,0.1361153709059877,0.0525471210152402,0,0,0,0,0,0,0
0.1296410952078703,0.1687098141790203,0.1579304286552269,0.2013975037616847,0.2845860345002178,0.1512049281420698,0.039303803277899,0,0,0,0,0,0,0
0.1273512483823671,0.1669247974054826,0.1491279388671287,0.2094656382219507,0.2733525009396297,0.1472498294352388,0.0475610350695275,0,0,0,0,0,0,0
